"Location Desc","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","$$hashKey","$$stateabbreviation","$$statename","$$stateId","timeIntervalDataVal","$$color","textoffsety","type","textoffsetx"
"Alabama","20.9","19.5","22.3","6,472","object:188","al","Alabama","1","0","class5_color4","","",""
"Alaska","21","18.3","23.7","3,084","object:189","ak","Alaska","2","0","class5_color4","","",""
"Arizona","15.6","14.8","16.4","14,770","object:190","az","Arizona","4","0","class5_color2","","",""
"Arkansas","22.3","20","24.6","5,100","object:191","ar","Arkansas","5","0","class5_color4","3","",""
"California","11.3","10.3","12.3","8,717","object:192","ca","California","6","0","class5_color1","10","",""
"Colorado","14.6","13.6","15.6","8,930","","co","Colorado","8","0","class5_color2","3","",""
"Connecticut","12.7","11.7","13.7","10,072","","ct","Connecticut","9","0","class5_color2","4","smallstate","2"
"Delaware","17","15.3","18.7","3,959","","de","Delaware","10","0","class5_color3","","smallstate",""
"District of Columbia","14.3","12.8","15.8","3,748","","dc","District of Columbia","11","0","class5_color2","","smallstate",""
"Florida","16.1","14.9","17.3","21,035","","fl","Florida","12","0","class5_color2","7","","8"
"Georgia","17.5","16.2","18.8","5,726","","ga","Georgia","13","0","class5_color3","","",""
"Guam","26.4","23.3","29.5","1,444","","gu","Guam","66","0","class5_color5","","territory",""
"Hawaii","12.8","11.7","13.9","7,422","","hi","Hawaii","15","0","class5_color2","7","","-15"
"Idaho","14.3","12.8","15.8","4,748","","id","Idaho","16","0","class5_color2","10","",""
"Illinois","15.5","14.2","16.8","5,345","","il","Illinois","17","0","class5_color2","","",""
"Indiana","21.8","20.8","22.8","13,261","","in","Indiana","18","0","class5_color4","","",""
"Iowa","17.1","16","18.2","7,437","","ia","Iowa","19","0","class5_color3","3","",""
"Kansas","17.4","16.7","18.1","20,693","","ks","Kansas","20","0","class5_color3","5","",""
"Kentucky","24.6","23","26.2","8,345","","ky","Kentucky","21","0","class5_color5","3","","4"
"Louisiana","23.1","21.4","24.8","4,534","","la","Louisiana","22","0","class5_color4","","","-5"
"Maine","17.3","16","18.6","9,326","","me","Maine","23","0","class5_color3","","",""
"Maryland","13.8","12.8","14.8","12,944","","md","Maryland","24","0","class5_color2","2","smallstate","2"
"Massachusetts","13.7","12.3","15.1","6,668","","ma","Massachusetts","25","0","class5_color2","3","",""
"Michigan","19.3","18.3","20.3","10,500","","mi","Michigan","26","0","class5_color3","10","","6"
"Minnesota","14.5","13.8","15.2","16,427","","mn","Minnesota","27","0","class5_color2","","",""
"Mississippi","22.2","20.4","24","4,818","","ms","Mississippi","28","0","class5_color4","","",""
"Missouri","20.8","19.4","22.2","7,376","","mo","Missouri","29","0","class5_color4","5","",""
"Montana","17.2","15.8","18.6","5,786","","mt","Montana","30","0","class5_color3","","",""
"Nebraska","15.4","14.5","16.3","14,849","","ne","Nebraska","31","0","class5_color2","3","",""
"Nevada","17.6","15.6","19.6","3,643","","nv","Nevada","32","0","class5_color3","","",""
"New Hampshire","15.7","14.1","17.3","5,503","","nh","New Hampshire","33","0","class5_color2","6","smallstate",""
"New Jersey","13.7","12.6","14.8","11,221","","nj","New Jersey","34","0","class5_color2","","smallstate",""
"New Mexico","17.5","16.1","18.9","6,254","","nm","New Mexico","35","0","class5_color3","3","",""
"New York","14.1","13.2","15","11,555","","ny","New York","36","0","class5_color2","","",""
"North Carolina","17.2","15.7","18.7","4,741","","nc","North Carolina","37","0","class5_color3","3","",""
"North Dakota","18.3","17","19.6","6,742","","nd","North Dakota","38","0","class5_color3","3","",""
"Ohio","21.1","19.9","22.3","11,879","","oh","Ohio","39","0","class5_color4","5","",""
"Oklahoma","20.1","18.7","21.5","6,371","","ok","Oklahoma","40","0","class5_color4","3","",""
"Oregon","16.1","14.9","17.3","5,127","","or","Oregon","41","0","class5_color2","3","",""
"Pennsylvania","18.7","17.4","20","6,353","","pa","Pennsylvania","42","0","class5_color3","5","",""
"Puerto Rico","11.3","9.9","12.7","4,448","","pr","Puerto Rico","72","0","class5_color1","","territory",""
"Rhode Island","14.9","13.4","16.4","5,387","","ri","Rhode Island","44","0","class5_color2","","smallstate",""
"South Carolina","18.8","17.7","19.9","10,896","","sc","South Carolina","45","0","class5_color3","3","",""
"South Dakota","19.3","17.4","21.2","6,837","","sd","South Dakota","46","0","class5_color3","3","",""
"Tennessee","22.6","21","24.2","5,567","","tn","Tennessee","47","0","class5_color4","4","",""
"Texas","15.7","14.2","17.2","11,697","","tx","Texas","48","0","class5_color2","","",""
"Utah","8.9","8.2","9.6","9,971","","ut","Utah","49","0","class5_color1","3","",""
"Vermont","15.8","14.5","17.1","6,218","","vt","Vermont","50","0","class5_color2","","smallstate",""
"Virginia","16.4","15.3","17.5","9,285","","va","Virginia","51","0","class5_color3","3","",""
"Washington","13.5","12.7","14.3","12,787","","wa","Washington","53","0","class5_color2","5","",""
"West Virginia","26","24.5","27.5","5,373","","wv","West Virginia","54","0","class5_color5","10","","-4"
"Wisconsin","16","14.6","17.4","5,538","","wi","Wisconsin","55","0","class5_color2","","",""
"Wyoming","18.7","17.1","20.3","4,363","","wy","Wyoming","56","0","class5_color3","3","",""